act_type,b_conv,b_fc,batch_size,best_epoch,best_iter,best_valid_accy,kp_conv,kp_fc,learn_rate,norm_type,run_time
tanh,0.001,0.001,256,22,2992,0.970975056,1,0.5,0.002,MaxScaleMinusMean,2.098159675
tanh,0,0.001,256,33,4488,0.968027211,1,0.5,0.002,MaxScaleMinusMean,2.938720798
tanh,0.001,0.001,256,18,2448,0.96553288,1,0.5,0.002,MaxScale,1.694129725
tanh,0.001,0.001,256,16,2176,0.96553288,1,0.5,0.002,ImageStandardize,1.504520635
tanh,0.001,0,256,17,2312,0.96213152,1,0.5,0.002,MaxScaleMinusMean,1.711203273
relu,0,0.001,256,18,2448,0.962131519,1,0.5,0.002,MaxScaleMinusMean,1.720499961
tanh,0.001,0.001,256,38,5168,0.961904761,1,0.5,0.001,MaxScaleMinusMean,3.159088624
tanh,0,0.001,256,44,5984,0.961451247,1,0.5,0.001,MaxScaleMinusMean,3.517198467
tanh,0,0,256,18,2448,0.960544218,1,0.5,0.002,MaxScaleMinusMean,1.886124265
tanh,0,0.001,256,42,5712,0.958730158,1,1,0.002,MaxScaleMinusMean,3.665604122
relu,0,0,256,23,3128,0.9569161,1,0.5,0.002,MaxScaleMinusMean,2.145226089
tanh,0.001,0,256,19,2584,0.956235827,1,1,0.002,MaxScaleMinusMean,1.858499173
relu,0.001,0,256,21,2856,0.955555556,1,0.5,0.002,MaxScaleMinusMean,1.947277586
relu,0.001,0.001,256,25,3400,0.949659864,1,0.5,0.002,MaxScaleMinusMean,2.247095978
relu,0,0,256,46,6256,0.949433107,0.5,0.5,0.002,MaxScaleMinusMean,3.860230446
tanh,0.001,0.001,256,22,2992,0.948752835,1,1,0.002,MaxScaleMinusMean,2.093306069
tanh,0,0,256,11,1496,0.945124717,1,1,0.002,MaxScaleMinusMean,1.245191228
relu,0.001,0.001,256,16,2176,0.943537415,1,1,0.002,MaxScaleMinusMean,1.603933064
relu,0,0.001,256,42,5712,0.942630385,0.5,0.5,0.002,MaxScaleMinusMean,3.625797975
relu,0.001,0.001,256,40,5440,0.941723356,0.5,0.5,0.002,MaxScaleMinusMean,3.560880319
tanh,0,0,256,15,2040,0.934693878,0.5,0.5,0.002,MaxScaleMinusMean,1.550820235
tanh,0,0,256,19,2584,0.932199546,0.5,1,0.002,MaxScaleMinusMean,1.861975614
tanh,0.001,0.001,256,38,5168,0.930839002,0.5,1,0.002,MaxScaleMinusMean,3.308281076
relu,0.001,0,256,25,3400,0.928798185,0.5,0.5,0.002,MaxScaleMinusMean,2.302661292
tanh,0.001,0,256,25,3400,0.927437642,0.5,0.5,0.002,MaxScaleMinusMean,2.310436686
tanh,0.001,0,256,11,1496,0.925396825,0.5,1,0.002,MaxScaleMinusMean,1.244263538
relu,0,0.001,256,40,5440,0.924489796,0.5,1,0.002,MaxScaleMinusMean,3.387237283
relu,0,0,256,29,3944,0.924263039,0.5,1,0.002,MaxScaleMinusMean,2.559949915
tanh,0.001,0.001,256,28,3808,0.923809524,0.5,0.5,0.002,MaxScaleMinusMean,2.535801005
relu,0,0.001,256,12,1632,0.921995465,1,1,0.002,MaxScaleMinusMean,1.291157873
relu,0.001,0.001,256,23,3128,0.914058957,0.5,1,0.002,MaxScaleMinusMean,2.086455448
tanh,0,0.001,256,18,2448,0.912244898,0.5,0.5,0.002,MaxScaleMinusMean,1.768944057
tanh,0,0.001,256,15,2040,0.910884354,0.5,1,0.002,MaxScaleMinusMean,1.50904694
relu,0.001,0,256,8,1088,0.910430839,1,1,0.002,MaxScaleMinusMean,1.009208941
relu,0,0,256,7,952,0.90861678,1,1,0.002,MaxScaleMinusMean,0.901068727
relu,0.001,0,256,21,2856,0.90861678,0.5,1,0.002,MaxScaleMinusMean,1.95833077
